Series,Indicator Name,group
fin22a.c.MM.d.2,"Borrowed any money from a formal financial institution or using a mobile money account, male (% age 15+)",fin22a
fin22a.c.MM.d.3,"Borrowed any money from a formal financial institution or using a mobile money account, young (% ages 15-24)",fin22a
fin22a.c.MM.d.4,"Borrowed any money from a formal financial institution or using a mobile money account, older (% age 25+)",fin22a
fin22a.c.MM.d.5,"Borrowed any money from a formal financial institution or using a mobile money account, primary education or less (% ages 15+)",fin22a
fin22a.c.MM.d.6,"Borrowed any money from a formal financial institution or using a mobile money account, secondary education or more (% ages 15+)",fin22a
fin22a.c.MM.d.7,"Borrowed any money from a formal financial institution or using a mobile money account, income poorest 40% (% ages 15+)",fin22a
fin22a.c.MM.d.8,"Borrowed any money from a formal financial institution or using a mobile money account, income richest 60% (% ages 15+)",fin22a
fin22a.c.MM.d.9,"Borrowed any money from a formal financial institution or using a mobile money account, rural (% age 15+)",fin22a
fin22a.c.t.d,Borrowed from a formal financial institution (% age 15+),fin22a
fin22a.c.t.d.1,"Borrowed from a formal financial institution, female (% age 15+)",fin22a
fin22a.c.t.d.10,"Borrowed from a formal financial institution, urban (% age 15+)",fin22a
fin22a.c.t.d.11,"Borrowed from a formal financial institution, out of labor force (% age 15+)",fin22a
fin22a.c.t.d.12,"Borrowed from a formal financial institution, in labor force (% age 15+)",fin22a
fin22a.c.t.d.2,"Borrowed from a formal financial institution, male (% age 15+)",fin22a
fin22a.c.t.d.3,"Borrowed from a formal financial institution, young (% ages 15-24)",fin22a
fin22a.c.t.d.4,"Borrowed from a formal financial institution, older (% age 25+)",fin22a
fin22a.c.t.d.5,"Borrowed from a formal financial institution, primary education or less (% ages 15+)",fin22a
fin22a.c.t.d.6,"Borrowed from a formal financial institution, secondary education or more (% ages 15+)",fin22a
fin22a.c.t.d.7,"Borrowed from a formal financial institution, income poorest 40% (% ages 15+)",fin22a
fin22a.c.t.d.8,"Borrowed from a formal financial institution, income richest 60% (% ages 15+)",fin22a
fin22a.c.t.d.9,"Borrowed from a formal financial institution, rural (% age 15+)",fin22a
fin22b.t.d,Borrowed from family or friends (% age 15+),fin22b
fin22b.t.d.1,"Borrowed from family or friends, female (% age 15+)",fin22b
fin22b.t.d.10,"Borrowed from family or friends, urban (% age 15+)",fin22b
fin22b.t.d.11,"Borrowed from family or friends, out of labor force (% age 15+)",fin22b
fin22b.t.d.12,"Borrowed from family or friends, in labor force (% age 15+)",fin22b
fin22b.t.d.2,"Borrowed from family or friends, male (% age 15+)",fin22b
fin22b.t.d.3,"Borrowed from family or friends, young (% ages 15-24)",fin22b
fin22b.t.d.4,"Borrowed from family or friends, older (% age 25+)",fin22b
fin22b.t.d.5,"Borrowed from family or friends, primary education or less (% ages 15+)",fin22b
fin22b.t.d.6,"Borrowed from family or friends, secondary education or more (% ages 15+)",fin22b
fin22b.t.d.7,"Borrowed from family or friends, income poorest 40% (% ages 15+)",fin22b
fin22b.t.d.8,"Borrowed from family or friends, income richest 60% (% ages 15+)",fin22b
fin22b.t.d.9,"Borrowed from family or friends, rural (% age 15+)",fin22b
fin22c.t.d,Borrowed from a savings club (% age 15+),fin22c
fin22c.t.d.1,"Borrowed from a savings club, female (% age 15+)",fin22c
fin22c.t.d.10,"Borrowed from a savings club, urban (% age 15+)",fin22c
fin22c.t.d.11,"Borrowed from a savings club, out of labor force (% age 15+)",fin22c
fin22c.t.d.12,"Borrowed from a savings club, in labor force (% age 15+)",fin22c
fin22c.t.d.2,"Borrowed from a savings club, male (% age 15+)",fin22c
fin22c.t.d.3,"Borrowed from a savings club, young (% ages 15-24)",fin22c
fin22c.t.d.4,"Borrowed from a savings club, older (% age 25+)",fin22c
fin22c.t.d.5,"Borrowed from a savings club, primary education or less (% ages 15+)",fin22c
fin22c.t.d.6,"Borrowed from a savings club, secondary education or more (% ages 15+)",fin22c
fin22c.t.d.7,"Borrowed from a savings club, income poorest 40% (% ages 15+)",fin22c
fin22c.t.d.8,"Borrowed from a savings club, income richest 60% (% ages 15+)",fin22c
fin22c.t.d.9,"Borrowed from a savings club, rural (% age 15+)",fin22c
fin24.1.7.d,Main source of emergency funds in 7 days: savings (% age 15+),fin24
fin24.1.d,Main source of emergency funds in 30 days: savings (% age 15+),fin24
fin24.2.7.d,Main source of emergency funds in 7 days: family or friends (% age 15+),fin24
fin24.2.d,Main source of emergency funds in 30 days: family or friends (% age 15+),fin24
fin24.3.7.d,Main source of emergency funds in 7 days: work (% age 15+),fin24
fin24.3.d,Main source of emergency funds in 30 days: work (% age 15+),fin24
fin24.4.7.d,"Main source of emergency funds in 7 days: loan from a bank, employer, or private lender (% age 15+)",fin24
fin24.4.d,"Main source of emergency funds in 30 days: loan from a bank, employer, or private lender (% age 15+)",fin24
fin24.5.7.d,Main source of emergency funds in 7 days: sale of assets (% age 15+),fin24
fin24.5.d,Main source of emergency funds in 30 days: sale of assets (% age 15+),fin24
fin24.6.7.d,Main source of emergency funds in 7 days: other (% age 15+),fin24
fin24.6.d,Main source of emergency funds in 30 days: other (% age 15+),fin24
fin24a.1.d,Coming up with emergency funds in 30 days: possible and very difficult (% age 15+),fin24a
fin24a.1.d.1,"Coming up with emergency funds in 30 days: possible and very difficult, female (% age 15+)",fin24a
fin24a.1.d.10,"Coming up with emergency funds in 30 days: possible and very difficult, urban (% age 15+)",fin24a
fin24a.1.d.11,"Coming up with emergency funds in 30 days: possible and very difficult, out of labor force (% age 15+)",fin24a
fin24a.1.d.12,"Coming up with emergency funds in 30 days: possible and very difficult, in labor force (% age 15+)",fin24a
fin24a.1.d.2,"Coming up with emergency funds in 30 days: possible and very difficult, male (% age 15+)",fin24a
fin24a.1.d.3,"Coming up with emergency funds in 30 days: possible and very difficult, young (% ages 15-24)",fin24a
fin24a.1.d.4,"Coming up with emergency funds in 30 days: possible and very difficult, older (% age 25+)",fin24a
fin24a.1.d.5,"Coming up with emergency funds in 30 days: possible and very difficult, primary education or less (% ages 15+)",fin24a
fin24a.1.d.6,"Coming up with emergency funds in 30 days: possible and very difficult, secondary education or more (% ages 15+)",fin24a
fin24a.1.d.7,"Coming up with emergency funds in 30 days: possible and very difficult, income poorest 40% (% ages 15+)",fin24a
fin24a.1.d.8,"Coming up with emergency funds in 30 days: possible and very difficult, income richest 60% (% ages 15+)",fin24a
fin24a.1.d.9,"Coming up with emergency funds in 30 days: possible and very difficult, rural (% age 15+)",fin24a
fin24a.2.d,Coming up with emergency funds in 30 days: possible and somewhat difficult (% age 15+),fin24a
fin24a.2.d.1,"Coming up with emergency funds in 30 days: possible and somewhat difficult, female (% age 15+)",fin24a
fin24a.2.d.10,"Coming up with emergency funds in 30 days: possible and somewhat difficult, urban (% age 15+)",fin24a
fin24a.2.d.11,"Coming up with emergency funds in 30 days: possible and somewhat difficult, out of labor force (% age 15+)",fin24a
fin24a.2.d.12,"Coming up with emergency funds in 30 days: possible and somewhat difficult, in labor force (% age 15+)",fin24a
fin24a.2.d.2,"Coming up with emergency funds in 30 days: possible and somewhat difficult, male (% age 15+)",fin24a
fin24a.2.d.3,"Coming up with emergency funds in 30 days: possible and somewhat difficult, young (% ages 15-24)",fin24a
fin24a.2.d.4,"Coming up with emergency funds in 30 days: possible and somewhat difficult, older (% age 25+)",fin24a
fin24a.2.d.5,"Coming up with emergency funds in 30 days: possible and somewhat difficult, primary education or less (% ages 15+)",fin24a
fin24a.2.d.6,"Coming up with emergency funds in 30 days: possible and somewhat difficult, secondary education or more (% ages 15+)",fin24a
fin24a.2.d.7,"Coming up with emergency funds in 30 days: possible and somewhat difficult, income poorest 40% (% ages 15+)",fin24a
fin24a.2.d.8,"Coming up with emergency funds in 30 days: possible and somewhat difficult, income richest 60% (% ages 15+)",fin24a
fin24a.2.d.9,"Coming up with emergency funds in 30 days: possible and somewhat difficult, rural (% age 15+)",fin24a
fin24a.3.d,Coming up with emergency funds in 30 days: possible and not difficult at all (% age 15+),fin24a
fin24a.3.d.1,"Coming up with emergency funds in 30 days: possible and not difficult at all, female (% age 15+)",fin24a
fin24a.3.d.10,"Coming up with emergency funds in 30 days: possible and not difficult at all, urban (% age 15+)",fin24a
fin24a.3.d.11,"Coming up with emergency funds in 30 days: possible and not difficult at all, out of labor force (% age 15+)",fin24a
fin24a.3.d.12,"Coming up with emergency funds in 30 days: possible and not difficult at all, in labor force (% age 15+)",fin24a
fin24a.3.d.2,"Coming up with emergency funds in 30 days: possible and not difficult at all, male (% age 15+)",fin24a
fin24a.3.d.3,"Coming up with emergency funds in 30 days: possible and not difficult at all, young (% ages 15-24)",fin24a
fin24a.3.d.4,"Coming up with emergency funds in 30 days: possible and not difficult at all, older (% age 25+)",fin24a
fin24a.3.d.5,"Coming up with emergency funds in 30 days: possible and not difficult at all, primary education or less (% ages 15+)",fin24a
fin24a.3.d.6,"Coming up with emergency funds in 30 days: possible and not difficult at all, secondary education or more (% ages 15+)",fin24a
fin24a.3.d.7,"Coming up with emergency funds in 30 days: possible and not difficult at all, income poorest 40% (% ages 15+)",fin24a
fin24a.3.d.8,"Coming up with emergency funds in 30 days: possible and not difficult at all, income richest 60% (% ages 15+)",fin24a
fin24a.3.d.9,"Coming up with emergency funds in 30 days: possible and not difficult at all, rural (% age 15+)",fin24a
fin24a.32.d,Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult (% age 15+),fin24a
fin24a.32.d.1,"Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, female (% age 15+)",fin24a
fin24a.32.d.10,"Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, urban (% age 15+)",fin24a
fin24a.32.d.11,"Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, out of labor force (% age 15+)",fin24a
fin24a.32.d.12,"Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, in labor force (% age 15+)",fin24a
fin24a.32.d.2,"Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, male (% age 15+)",fin24a
fin24a.32.d.3,"Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, young (% ages 15-24)",fin24a
fin24a.32.d.4,"Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, older (% age 25+)",fin24a
fin24a.32.d.5,"Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, primary education or less (% ages 15+)",fin24a
fin24a.32.d.6,"Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, secondary education or more (% ages 15+)",fin24a
fin24a.32.d.7,"Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, income poorest 40% (% ages 15+)",fin24a
fin24a.32.d.8,"Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, income richest 60% (% ages 15+)",fin24a
fin24a.32.d.9,"Coming up with emergency funds in 30 days: possible and not difficult or somewhat difficult, rural (% age 15+)",fin24a
fin24a.321.d,Coming up with emergency funds in 30 days: possible (% age 15+),fin24a
fin24a.321.d.1,"Coming up with emergency funds in 30 days: possible, female (% age 15+)",fin24a
fin24a.321.d.10,"Coming up with emergency funds in 30 days: possible, urban (% age 15+)",fin24a
fin24a.321.d.11,"Coming up with emergency funds in 30 days: possible, out of labor force (% age 15+)",fin24a
fin24a.321.d.12,"Coming up with emergency funds in 30 days: possible, in labor force (% age 15+)",fin24a
fin24a.321.d.2,"Coming up with emergency funds in 30 days: possible, male (% age 15+)",fin24a
fin24a.321.d.3,"Coming up with emergency funds in 30 days: possible, young (% ages 15-24)",fin24a
fin24a.321.d.4,"Coming up with emergency funds in 30 days: possible, older (% age 25+)",fin24a
fin24a.321.d.5,"Coming up with emergency funds in 30 days: possible, primary education or less (% ages 15+)",fin24a
fin24a.321.d.6,"Coming up with emergency funds in 30 days: possible, secondary education or more (% ages 15+)",fin24a
fin24a.321.d.7,"Coming up with emergency funds in 30 days: possible, income poorest 40% (% ages 15+)",fin24a
fin24a.321.d.8,"Coming up with emergency funds in 30 days: possible, income richest 60% (% ages 15+)",fin24a
fin24a.321.d.9,"Coming up with emergency funds in 30 days: possible, rural (% age 15+)",fin24a
fin24a.N.d,Coming up with emergency funds in 30 days: not possible (% age 15+),fin24a
fin24a.N.d.1,"Coming up with emergency funds in 30 days: not possible, female (% age 15+)",fin24a
fin24a.N.d.10,"Coming up with emergency funds in 30 days: not possible, urban (% age 15+)",fin24a
fin24a.N.d.11,"Coming up with emergency funds in 30 days: not possible, out of labor force (% age 15+)",fin24a
fin24a.N.d.12,"Coming up with emergency funds in 30 days: not possible, in labor force (% age 15+)",fin24a
fin24a.N.d.2,"Coming up with emergency funds in 30 days: not possible, male (% age 15+)",fin24a
fin24a.N.d.3,"Coming up with emergency funds in 30 days: not possible, young (% ages 15-24)",fin24a
fin24a.N.d.4,"Coming up with emergency funds in 30 days: not possible, older (% age 25+)",fin24a
fin24a.N.d.5,"Coming up with emergency funds in 30 days: not possible, primary education or less (% ages 15+)",fin24a
fin24a.N.d.6,"Coming up with emergency funds in 30 days: not possible, secondary education or more (% ages 15+)",fin24a
fin24a.N.d.7,"Coming up with emergency funds in 30 days: not possible, income poorest 40% (% ages 15+)",fin24a
fin24a.N.d.8,"Coming up with emergency funds in 30 days: not possible, income richest 60% (% ages 15+)",fin24a
fin24a.N.d.9,"Coming up with emergency funds in 30 days: not possible, rural (% age 15+)",fin24a
fin24b.1.d,Coming up with emergency funds in 7 days: possible and very difficult (% age 15+),fin24b
fin24b.1.d.1,"Coming up with emergency funds in 7 days: possible and very difficult, female (% age 15+)",fin24b
fin24b.1.d.10,"Coming up with emergency funds in 7 days: possible and very difficult, urban (% age 15+)",fin24b
fin24b.1.d.11,"Coming up with emergency funds in 7 days: possible and very difficult, out of labor force (% age 15+)",fin24b
fin24b.1.d.12,"Coming up with emergency funds in 7 days: possible and very difficult, in labor force (% age 15+)",fin24b
fin24b.1.d.2,"Coming up with emergency funds in 7 days: possible and very difficult, male (% age 15+)",fin24b
fin24b.1.d.3,"Coming up with emergency funds in 7 days: possible and very difficult, young (% ages 15-24)",fin24b
fin24b.1.d.4,"Coming up with emergency funds in 7 days: possible and very difficult, older (% age 25+)",fin24b
fin24b.1.d.5,"Coming up with emergency funds in 7 days: possible and very difficult, primary education or less (% ages 15+)",fin24b
fin24b.1.d.6,"Coming up with emergency funds in 7 days: possible and very difficult, secondary education or more (% ages 15+)",fin24b
fin24b.1.d.7,"Coming up with emergency funds in 7 days: possible and very difficult, income poorest 40% (% ages 15+)",fin24b
fin24b.1.d.8,"Coming up with emergency funds in 7 days: possible and very difficult, income richest 60% (% ages 15+)",fin24b
fin24b.1.d.9,"Coming up with emergency funds in 7 days: possible and very difficult, rural (% age 15+)",fin24b
fin24b.2.d,Coming up with emergency funds in 7 days: possible and somewhat difficult (% age 15+),fin24b
fin24b.2.d.1,"Coming up with emergency funds in 7 days: possible and somewhat difficult, female (% age 15+)",fin24b
fin24b.2.d.10,"Coming up with emergency funds in 7 days: possible and somewhat difficult, urban (% age 15+)",fin24b
fin24b.2.d.11,"Coming up with emergency funds in 7 days: possible and somewhat difficult, out of labor force (% age 15+)",fin24b
fin24b.2.d.12,"Coming up with emergency funds in 7 days: possible and somewhat difficult, in labor force (% age 15+)",fin24b
fin24b.2.d.2,"Coming up with emergency funds in 7 days: possible and somewhat difficult, male (% age 15+)",fin24b
fin24b.2.d.3,"Coming up with emergency funds in 7 days: possible and somewhat difficult, young (% ages 15-24)",fin24b
fin24b.2.d.4,"Coming up with emergency funds in 7 days: possible and somewhat difficult, older (% age 25+)",fin24b
fin24b.2.d.5,"Coming up with emergency funds in 7 days: possible and somewhat difficult, primary education or less (% ages 15+)",fin24b
fin24b.2.d.6,"Coming up with emergency funds in 7 days: possible and somewhat difficult, secondary education or more (% ages 15+)",fin24b
fin24b.2.d.7,"Coming up with emergency funds in 7 days: possible and somewhat difficult, income poorest 40% (% ages 15+)",fin24b
fin24b.2.d.8,"Coming up with emergency funds in 7 days: possible and somewhat difficult, income richest 60% (% ages 15+)",fin24b
fin24b.2.d.9,"Coming up with emergency funds in 7 days: possible and somewhat difficult, rural (% age 15+)",fin24b
fin24b.3.d,Coming up with emergency funds in 7 days: possible and not difficult (% age 15+),fin24b
fin24b.3.d.1,"Coming up with emergency funds in 7 days: possible and not difficult, female (% age 15+)",fin24b
fin24b.3.d.10,"Coming up with emergency funds in 7 days: possible and not difficult, urban (% age 15+)",fin24b
fin24b.3.d.11,"Coming up with emergency funds in 7 days: possible and not difficult, out of labor force (% age 15+)",fin24b
fin24b.3.d.12,"Coming up with emergency funds in 7 days: possible and not difficult, in labor force (% age 15+)",fin24b
fin24b.3.d.2,"Coming up with emergency funds in 7 days: possible and not difficult, male (% age 15+)",fin24b
fin24b.3.d.3,"Coming up with emergency funds in 7 days: possible and not difficult, young (% ages 15-24)",fin24b
fin24b.3.d.4,"Coming up with emergency funds in 7 days: possible and not difficult, older (% age 25+)",fin24b
fin24b.3.d.5,"Coming up with emergency funds in 7 days: possible and not difficult, primary education or less (% ages 15+)",fin24b
fin24b.3.d.6,"Coming up with emergency funds in 7 days: possible and not difficult, secondary education or more (% ages 15+)",fin24b
fin24b.3.d.7,"Coming up with emergency funds in 7 days: possible and not difficult, income poorest 40% (% ages 15+)",fin24b
fin24b.3.d.8,"Coming up with emergency funds in 7 days: possible and not difficult, income richest 60% (% ages 15+)",fin24b
fin24b.3.d.9,"Coming up with emergency funds in 7 days: possible and not difficult, rural (% age 15+)",fin24b
fin24b.32.d,Coming up with emergency funds in 7 days: possible and not difficult or somewhat difficult (% age 15+),fin24b
fin24b.32.d.1,"Coming up with emergency funds in 7 days: possible and not difficult or somewhat difficult, female (% age 15+)",fin24b
fin24b.32.d.10,"Coming up with emergency funds in 7 days: possible and not difficult or somewhat difficult, urban (% age 15+)",fin24b
fin24b.32.d.11,"Coming up with emergency funds in 7 days: possible and not difficult or somewhat difficult, out of labor force (% age 15+)",fin24b
fin24b.32.d.12,"Coming up with emergency funds in 7 days: possible and not difficult or somewhat difficult, in labor force (% age 15+)",fin24b
fin24b.32.d.2,"Coming up with emergency funds in 7 days: possible and not difficult or somewhat difficult, male (% age 15+)",fin24b
fin24b.32.d.3,"Coming up with emergency funds in 7 days: possible and not difficult or somewhat difficult, young (% ages 15-24)",fin24b
fin24b.32.d.4,"Coming up with emergency funds in 7 days: possible and not difficult or somewhat difficult, older (% age 25+)",fin24b
fin24b.32.d.5,"Coming up with emergency funds in 7 days: possible and not difficult or somewhat difficult, primary education or less (% ages 15+)",fin24b
fin24b.32.d.6,"Coming up with emergency funds in 7 days: possible and not difficult or somewhat difficult, secondary education or more (% ages 15+)",fin24b
fin24b.32.d.7,"Coming up with emergency funds in 7 days: possible and not difficult or somewhat difficult, income poorest 40% (% ages 15+)",fin24b
fin24b.32.d.8,"Coming up with emergency funds in 7 days: possible and not difficult or somewhat difficult, income richest 60% (% ages 15+)",fin24b
fin24b.32.d.9,"Coming up with emergency funds in 7 days: possible and not difficult or somewhat difficult, rural (% age 15+)",fin24b
fin24b.321.d,Coming up with emergency funds in 7 days: possible (% age 15+),fin24b
fin24b.321.d.1,"Coming up with emergency funds in 7 days: possible, female (% age 15+)",fin24b
fin24b.321.d.10,"Coming up with emergency funds in 7 days: possible, urban (% age 15+)",fin24b
fin24b.321.d.11,"Coming up with emergency funds in 7 days: possible, out of labor force (% age 15+)",fin24b
fin24b.321.d.12,"Coming up with emergency funds in 7 days: possible, in labor force (% age 15+)",fin24b
fin24b.321.d.2,"Coming up with emergency funds in 7 days: possible, male (% age 15+)",fin24b
fin24b.321.d.3,"Coming up with emergency funds in 7 days: possible, young (% ages 15-24)",fin24b
fin24b.321.d.4,"Coming up with emergency funds in 7 days: possible, older (% age 25+)",fin24b
fin24b.321.d.5,"Coming up with emergency funds in 7 days: possible, primary education or less (% ages 15+)",fin24b
fin24b.321.d.6,"Coming up with emergency funds in 7 days: possible, secondary education or more (% ages 15+)",fin24b
fin24b.321.d.7,"Coming up with emergency funds in 7 days: possible, income poorest 40% (% ages 15+)",fin24b
fin24b.321.d.8,"Coming up with emergency funds in 7 days: possible, income richest 60% (% ages 15+)",fin24b
fin24b.321.d.9,"Coming up with emergency funds in 7 days: possible, rural (% age 15+)",fin24b
fin26.28.t.d,Sent or received domestic remittances (% age 15+),fin26
fin26.28.t.d.1,"Sent or received domestic remittances, female (% age 15+)",fin26
fin26.28.t.d.10,"Sent or received domestic remittances, urban (% age 15+)",fin26
fin26.28.t.d.11,"Sent or received domestic remittances, out of labor force (% age 15+)",fin26
fin26.28.t.d.12,"Sent or received domestic remittances, in labor force (% age 15+)",fin26
fin26.28.t.d.2,"Sent or received domestic remittances, male (% age 15+)",fin26
fin26.28.t.d.3,"Sent or received domestic remittances, young (% ages 15-24)",fin26
fin26.28.t.d.4,"Sent or received domestic remittances, older (% age 25+)",fin26
fin26.28.t.d.5,"Sent or received domestic remittances, primary education or less (% ages 15+)",fin26
fin26.28.t.d.6,"Sent or received domestic remittances, secondary education or more (% ages 15+)",fin26
fin26.28.t.d.7,"Sent or received domestic remittances, income poorest 40% (% ages 15+)",fin26
fin26.28.t.d.8,"Sent or received domestic remittances, income richest 60% (% ages 15+)",fin26
fin26.28.t.d.9,"Sent or received domestic remittances, rural (% age 15+)",fin26
fin26.t.d,Sent domestic remittances (% age 15+),fin26
fin26.t.d.1,"Sent domestic remittances, female (% age 15+)",fin26
fin26.t.d.10,"Sent domestic remittances, urban (% age 15+)",fin26
fin26.t.d.11,"Sent domestic remittances, out of labor force (% age 15+)",fin26
fin26.t.d.12,"Sent domestic remittances, in labor force (% age 15+)",fin26
fin26.t.d.2,"Sent domestic remittances, male (% age 15+)",fin26
fin26.t.d.3,"Sent domestic remittances, young (% ages 15-24)",fin26
fin26.t.d.4,"Sent domestic remittances, older (% age 25+)",fin26
fin26.t.d.5,"Sent domestic remittances, primary education or less (% ages 15+)",fin26
fin26.t.d.6,"Sent domestic remittances, secondary education or more (% ages 15+)",fin26
fin26.t.d.7,"Sent domestic remittances, income poorest 40% (% ages 15+)",fin26
fin26.t.d.8,"Sent domestic remittances, income richest 60% (% ages 15+)",fin26
fin26.t.d.9,"Sent domestic remittances, rural (% age 15+)",fin26
fin27.29.t,Sent or received domestic remittances: using an account (% age 15+),fin27
fin27.29.t.s,"Sent or received domestic remittances: using an account (% of senders and recipients, age 15+)",fin27
fin27.t,Sent domestic remittances: using an account (% age 15+),fin27
fin27.t.s,"Sent domestic remittances: using an account (% of senders, age 15+)",fin27
fin27c1.29c1.t,Sent or received domestic remittances: in person and in cash only (% age 15+),fin27c1
fin27c1.29c1.t.s,"Sent or received domestic remittances: in person and in cash only (% of senders and recipients, age 15+)",fin27c1
fin27c1.t,Sent domestic remittances: delivered in person and in cash only (% age 15+),fin27c1
fin27c1.t.s,"Sent domestic remittances: delivered in person and in cash only (% of senders, age 15+)",fin27c1
fin27c2.29c2.t,Sent or received domestic remittances: through a money transfer service (% age 15+),fin27c2
fin27c2.29c2.t.s,"Sent or received domestic remittances: through a money transfer service (% of senders and recipients, age 15+)",fin27c2
fin27c2.t,Sent domestic remittances: through a money transfer service (% age 15+),fin27c2
fin27c2.t.s,"Sent domestic remittances: through a money transfer service (% of senders, age 15+)",fin27c2
fin28.t.d,Received domestic remittances (% age 15+),fin28
fin28.t.d.1,"Received domestic remittances, female (% age 15+)",fin28
fin28.t.d.10,"Received domestic remittances, urban (% age 15+)",fin28
fin28.t.d.11,"Received domestic remittances, out of labor force (% age 15+)",fin28
fin28.t.d.12,"Received domestic remittances, in labor force (% age 15+)",fin28
fin28.t.d.2,"Received domestic remittances, male (% age 15+)",fin28
fin28.t.d.3,"Received domestic remittances, young (% ages 15-24)",fin28
fin28.t.d.4,"Received domestic remittances, older (% age 25+)",fin28
fin28.t.d.5,"Received domestic remittances, primary education or less (% ages 15+)",fin28
fin28.t.d.6,"Received domestic remittances, secondary education or more (% ages 15+)",fin28
fin28.t.d.7,"Received domestic remittances, income poorest 40% (% ages 15+)",fin28
fin28.t.d.8,"Received domestic remittances, income richest 60% (% ages 15+)",fin28
fin28.t.d.9,"Received domestic remittances, rural (% age 15+)",fin28
fin29.t,Received domestic remittances: into an account (% age 15+),fin29
fin29.t.s,"Received domestic remittances: into an account (% of recipients, age 15+)",fin29
fin29c1.t,Received domestic remittances: in person and in cash only (% age 15+),fin29c1
fin29c1.t.s,"Received domestic remittances: in person and in cash only (% of recipients, age 15+)",fin29c1
fin29c2.t,Received domestic remittances: through a money transfer service (% age 15+),fin29c2
fin29c2.t.s,"Received domestic remittances: through a money transfer service (% of recipients, age 15+)",fin29c2
fin30.acc.t,Made a utility payment: using an account (% age 15+),fin30
fin30.acc.t.s,"Made a utility payment: using an account (% who paid utility bills, age 15+)",fin30
fin30.t.d,Made a utility payment (% age 15+),fin30
fin30.t.d.1,"Made a utility payment, female (% age 15+)",fin30
fin30.t.d.10,"Made a utility payment, urban (% age 15+)",fin30
fin30.t.d.11,"Made a utility payment, out of labor force (% age 15+)",fin30
fin30.t.d.12,"Made a utility payment, in labor force (% age 15+)",fin30
fin30.t.d.2,"Made a utility payment, male (% age 15+)",fin30
fin30.t.d.3,"Made a utility payment, young (% ages 15-24)",fin30
fin30.t.d.4,"Made a utility payment, older (% age 25+)",fin30
fin30.t.d.5,"Made a utility payment, primary education or less (% ages 15+)",fin30
fin30.t.d.6,"Made a utility payment, secondary education or more (% ages 15+)",fin30
fin30.t.d.7,"Made a utility payment, income poorest 40% (% ages 15+)",fin30
fin30.t.d.8,"Made a utility payment, income richest 60% (% ages 15+)",fin30
fin30.t.d.9,"Made a utility payment, rural (% age 15+)",fin30
fin31a.t,Made a utility payment: using a financial institution account (% age 15+),fin31a
fin31a.t.s,"Made a utility payment: using a financial institution account (% who paid utility bills, age 15+)",fin31a
fin31b.t,Made a utility payment: using a mobile phone (% age 15+),fin31b
fin31b.t.s,"Made a utility payment: using a mobile phone (% who paid utility bills, age 15+)",fin31b
fin31b1,Made a utility payment: using an account for the first time after COVID-19 started (% age 15+),fin31b1
fin31c.t,Made a utility payment: using cash only (% age 15+),fin31c
fin31c.t.s,"Made a utility payment: using cash only (% who paid utility bills, age 15+)",fin31c
fin32.33.34a.t,Received public sector wages: into a financial institution account (% age 15+),fin32
fin32.33.34a.t.s,"Received public sector wages: into a financial institution account (% of public sector wage recipients, age 15+)",fin32
fin32.33.34b.t,Received public sector wages: through a mobile phone (% age 15+),fin32
fin32.33.34b.t.s,"Received public sector wages: through a mobile phone (% of public sector wage recipients, age 15+)",fin32
fin32.33.34d.t,Received public sector wages: in cash only (% age 15+),fin32
fin32.33.34d.t.s,"Received public sector wages: in cash only (% of public sector wage recipients, age 15+)",fin32
fin32.33.34e.t,Received public sector wages: to a card (% age 15+),fin32
fin32.33.34e.t.s,"Received public sector wages: to a card (% of public sector wage recipients, age 15+)",fin32
fin32.33.acc.35,Received public sector wages into an account: paid higher than expected fees (% age 15+),fin32
fin32.33.acc.35.s,"Received public sector wages into an account: paid higher than expected fees (% who received public sector wages into an account, age 15+)",fin32
fin32.33.acc.t,Received public sector wages: into an account (% age 15+),fin32
fin32.33.acc.t.s,"Received public sector wages: into an account (% of public sector wage recipients, age 15+)",fin32
fin32.33.t.d,Received public sector wages (% age 15+),fin32
fin32.33.t.d.1,"Received public sector wages, female (% age 15+)",fin32
fin32.33.t.d.10,"Received public sector wages, urban (% age 15+)",fin32
fin32.33.t.d.11,"Received public sector wages, out of labor force (% age 15+)",fin32
fin32.33.t.d.12,"Received public sector wages, in labor force (% age 15+)",fin32
fin32.33.t.d.2,"Received public sector wages, male (% age 15+)",fin32
fin32.33.t.d.3,"Received public sector wages, young (% ages 15-24)",fin32
fin32.33.t.d.4,"Received public sector wages, older (% age 25+)",fin32
fin32.33.t.d.5,"Received public sector wages, primary education or less (% ages 15+)",fin32
